CAD,pi_phys,pi_rec,x_hat_expand
2.5971709399,2.59717094004188,2.5971709399,NaN
-0.256138834974908,-0.256138834837016,-0.256138834974908,NaN
6.33997995309929e-05,6.3399720795477e-05,6.33997995309929e-05,NaN
-0.271659606167162,-0.271659606067415,-0.271659606167162,NaN
0.0388677463055808,0.0521005125917633,0.0388677463055808,NaN
4.10549509455598e-06,4.10553520944628e-06,4.10549509455598e-06,NaN
-0.0236796131781571,-0.00922064390117802,-0.0236796131781571,NaN
0.0641803304778172,0.0586279166208552,0.0641803304778172,NaN
3.45689496340721e-06,3.4568605404264e-06,3.45689496340721e-06,NaN
0.0326370201454591,0.00652740402909183,-0.175262480159351,NaN
2.389815428,3.34179175811073,2.38547443445875,NaN
0.32981013073504,0.42981013073504,0.389893086323207,NaN
-0.119614018005327,-0.134409673391689,-0.233752597312695,-0.426590298359654
-0.000207874032318352,-0.0671265152372478,-3.19114761353851,-3.2230570109336
0.0101784012094904,0.0032667361737394,-0.180578363597261,-0.188963787371246
0.0159529567120701,-0.00834120288057693,0.31960995716598,0.350346644724861
2.05713499940652e-05,-0.00877972147110966,0.485804229370604,0.490662065950813
0.0516044817351929,0.0911192258514733,-0.34428425043678,-0.586375417305162
-2.09440100955627e-05,-0.0463691055310107,-0.229961704033724,-0.232261111633962
0.0566209038054309,0.0943859620252127,0.244610135672587,NaN
6.3338610229,6.13014247047745,6.34774138614271,NaN
0.0700772106717382,0.170077210671738,0.405123886184279,0.408474352939406
0.702750462239055,0.802750462239055,0.545220402074264,NaN
-0.617077975886477,-0.517077975886477,-0.623239616340042,-2.52563505454307
0.269724017508472,0.167462247468996,-0.135240213300056,0.152317000133854
-0.00948800912672229,0.0405119908732777,0.161771254613597,0.163483847251003
-0.00128440045143653,-0.0512844004514365,-0.0550745993284297,-0.0556125013171999
0.18869956436246,0.339659215852429,0.490030391971965,1.28251223629427
0.0832649891790296,0.0772347788316381,0.188031151252686,0.282376643514495
0.0956649824352405,0.172196968383433,0.497861680304206,NaN
3.3685023755,3.57895500354328,3.35703623181205,NaN
0.0255505290971768,-0.0444322603890484,-0.301970242841538,-0.305245450560923
-0.00183494114151799,0.0696295180170105,-0.116373999754153,NaN
-0.483870169242108,-0.442521639732629,-0.444976293274943,-0.916944119466595
0.116204141556721,0.124914779809759,0.192712953396982,0.668475044976761
0.000100875132144351,-0.0346567809333408,-0.0591632421808779,-0.0597558833540078
0.00135122048266212,0.0146974781955027,0.162034829846928,0.163641665940572
0.116448191041687,0.131832003396472,0.182614860501761,0.365133881702616
0.0006655463077106,0.0150989357520462,0.137111911952015,0.114571469733084
0.0038429019926178,0.00691722358671204,-0.0754334427872709,0.21691344272005
0.0920092994,0.114976881122339,0.0867156293426437,NaN
-0.0001106197627636,0.0021613046895151,0.0591589260857577,NaN
-0.000112162151453162,0.00215937728606609,-0.0621195000800125,NaN
-8.7695903444128e-07,0.00229844175479743,0.157315048277116,0.158888207529476
0.0100001367374533,0.0160004589019188,-0.164394461265545,NaN
-2.69801443473569e-07,0.00265170637783937,0.0371388464836154,0.0375102376464676
-5.84605778285242e-09,0.00848551749301899,-0.226383934115286,-0.228647773397978
0.0100001330028709,0.00200002660057418,-0.0663120106928646,NaN
-1.53291928979304e-08,-0.00300006040890579,-0.113049837225943,-0.114180335444909
0.0100002697236072,0.018000485502493,0.181627334787004,0.414050077396047
1.1454787289,1.1925457418735,1.14018505884265,NaN
0.0662335002709913,0.0928059086970225,0.125503046119509,0.185254667663751
-5.87435856541787e-05,0.0196786868680921,0.0120771262780581,0.0121984849766969
-0.0402793746179853,-0.0180835143877096,-0.180439390169014,-0.181840990324524
0.0114163785232248,0.0205494813418047,-0.0202069413073555,-0.0205231745056612
-1.18148074160275e-06,0.00457276144635189,0.00499768570303956,0.00504767437487732
0.00175818800724868,0.0113087243683927,0.0334003626914944,0.0337167844383367
0.0152461075235628,0.00434404170397382,0.0417250576857766,-0.0243221635054642
-1.70826003013414e-06,-0.00519948320195852,-0.0153135951026367,-0.0154667139710643
0.0138297350254325,0.0248935230457785,0.0826657062308767,0.0170420552500665
