ï»¿电机型号,辨识日期,K_tau_Nm/A,摩擦模型,tau_s_Nm,mu_s_Nm,v_act_rads,mu_d_Nms_rad,tau_c_pos_Nm,tau_c_neg_Nm,b_Nms_rad,tau0_Nm,I_a_kgm2,I_a_R2,R2_friction,RMSE_Nm,nUsed,备注
泉智博_100-20-10 26_3_6,2026-03-11 21:00,1.80,stribeck_viscous,1.5165,NaN,0.3174,NaN,0.0000,-0.0000,0.1370,-0.0089,0.017456,0.2200,0.9419,0.3850,16,
泉智博_100-20-10 26_3_6,2026-03-11 21:00,1.80,tanh_viscous,1.5165,0.0900,636.3883,0.1369,NaN,NaN,NaN,NaN,0.015489,0.2242,0.9418,0.3851,16,
泉智博_PA81_12_18,2026-03-11 21:01,1.75,tanh_viscous,1.7308,3.3056,963.0895,0.2406,NaN,NaN,NaN,NaN,0.009401,0.0143,0.8548,0.8073,20,
泉智博_PA81_12_18,2026-03-11 21:01,1.75,stribeck_viscous,1.7308,NaN,1.5565,NaN,0.0000,-0.0000,0.2430,-0.0468,0.020529,0.1060,0.8593,0.7945,20,
泉智博_43_15_36,2026-03-11 21:02,2.90,stribeck_viscous,4.5678,NaN,3.2273,NaN,0.0000,-0.0000,0.1847,-0.0047,0.033067,0.0745,0.9859,0.1301,29,
泉智博_43_15_36,2026-03-11 21:03,2.90,tanh_viscous,4.5678,0.9062,0.0131,0.0523,NaN,NaN,NaN,NaN,0.032565,0.2325,0.9693,0.1918,29,
泉智博_43_10_40,2026-03-11 21:04,4.10,tanh_viscous,5.0762,3.1857,0.0239,0.3294,NaN,NaN,NaN,NaN,0.186068,0.5814,0.9766,0.7009,24,
泉智博_43_10_40,2026-03-11 21:04,4.10,stribeck_viscous,5.0762,NaN,3.5601,NaN,0.0000,-0.0000,0.7999,-0.2777,0.187245,0.5169,0.9895,0.4686,24,
因克斯EC-A10020-P2-72V,2026-03-11 21:05,2.60,stribeck_viscous,3.4580,NaN,0.0113,NaN,1.9127,-1.9127,0.2391,-0.0036,0.193117,0.8409,0.9681,0.4255,136,
因克斯EC-A10020-P2-72V,2026-03-11 21:12,2.60,tanh_viscous,3.4580,2.1738,0.1480,0.2091,NaN,NaN,NaN,NaN,0.192971,0.8415,0.9705,0.4090,136,
